id,places,sentiment
24,Bandra-Worli Sea Link,0
25,Bandra-Worli Sea Link,1
26,Bandra-Worli Sea Link,1
27,Bandra-Worli Sea Link,1
28,Bandra-Worli Sea Link,1
29,Bandra-Worli Sea Link,1
30,Bandra-Worli Sea Link,0
31,Bandra-Worli Sea Link,0
32,Bandra-Worli Sea Link,1
33,Bandra-Worli Sea Link,0
34,Bandra-Worli Sea Link,1
35,Bandra-Worli Sea Link,1
36,Bandra-Worli Sea Link,1
37,Bandra-Worli Sea Link,1
38,Bandra-Worli Sea Link,1
39,Bandra-Worli Sea Link,0
40,Bandra-Worli Sea Link,0
41,Bandra-Worli Sea Link,0
42,Bandra-Worli Sea Link,0
43,Bandra-Worli Sea Link,1
44,Bandra-Worli Sea Link,1
45,Bandra-Worli Sea Link,1
46,Bandra-Worli Sea Link,1
47,Bandra-Worli Sea Link,1
48,Bandra-Worli Sea Link,0
49,Bandra-Worli Sea Link,0
